model,seed,family,direction,relaxation_rate,equilibrium_gain,normalized_trajectory_l2_error
maxwell,26092406,calibration_mode_b,minus,0.1,0.01,1.627711614123519e-05
maxwell,26092406,calibration_mode_b,minus,0.1,0.05,1.9901554615858195e-05
maxwell,26092406,calibration_mode_b,minus,0.2,0.0,1.564519046872476e-05
maxwell,26092406,calibration_mode_b,minus,0.2,0.01,1.6837005231322643e-05
maxwell,26092406,calibration_mode_b,minus,0.2,0.05,2.449690825701745e-05
maxwell,26092406,calibration_mode_b,minus,0.4,0.0,1.564519046872476e-05
maxwell,26092406,calibration_mode_b,minus,0.4,0.01,1.76930401148972e-05
maxwell,26092406,calibration_mode_b,minus,0.4,0.05,3.1748505116369564e-05
maxwell,26092407,calibration_mode_a,plus,0.05,0.0,2.2156900970687846e-05
maxwell,26092407,calibration_mode_a,plus,0.05,0.01,2.271285339820372e-05
